price
1.09
1.64
0.60
0.00
3.99
3.69
1.50
1.64
6.59
1.50
6.99
5.49
2.99
2.19
6.59
8.79
4.99
0.17
2.99
2.19
8.99
0.88
1.69
0.89
5.89
5.49
2.20
1.99
1.09
3.09
2.79
3.69
3.29
7.19
7.19
5.89
6.59
4.39
7.99
2.19
1.99
1.69
7.69
1.89
3.99
4.39
1.99
9.99
0.33
2.99
3.89
9.99
3.09
2.19
1.10
1.64
2.19
5.00
2.19
4.39
9.99
9.99
1.10
1.50
9.87
5.29
5.49
4.39
3.29
5.49
2.49
3.89
2.19
3.29
1.09
1.09
8.79
6.57
4.09
0.85
9.99
1.20
2.30
9.99
5.49
3.89
0.43
6.15
1.20
3.29
0.89
3.09
4.39
7.19
2.19
2.19
1.00
2.19
5.29
2.19
5.49
0.00
1.99
0.00
3.29
2.19
2.19
5.31
4.79
9.99
2.00
9.86
5.73
5.38
0.24
7.99
3.89
5.38
5.49
4.79
2.49
2.00
7.69
3.29
2.20
3.29
9.99
3.29
6.19
1.45
2.19
