calories,fat,fiber,sugar,protein,,,,,,,
3239.928571,369.3518571,0,0,3.239928571,,,,,,,
7692.3,41.58,275.94,0,309.96,,,,,,,
2664.84125,226.795,36.8541875,38.27165625,109.1450938,,,,,,,
1457.097963,19.45072222,16.7207963,22.86312963,49.13866667,,,,,,,
333.72,4.86,24.3,0,43.74,,,,,,,
0,0,0,0,0,,,,,,,
138.3734831,0.764494382,4.077303371,8.919101124,3.312808989,,,,,,,
1579.453571,142.1508214,0,63.17814286,8.50475,,,,,,,
3600,0,0,0,0,,,,,,,
140.6129,0.412354545,15.25711818,6.185318182,8.247090909,,,,,,,
516.8930233,31.11906977,75.16046512,3.955813953,44.56883721,,,,,,,
28.7749,0.856395833,0,0,4.6245375,,,,,,,
93.74193333,0,0,3.023933333,0,,,,,,,
