packagesize
128.75
1.00
8.00
1.00
32.40
18.00
4.02
0.01
18.14
4.02
50.63
37.33
96.00
25.00
13.03
124.03
32.40
1.00
96.00
4.12
3.91
1.04
113.40
2.00
12.00
28.35
90.72
37.80
12.50
226.80
10.00
21.26
3.78
35.44
8.59
12.00
5.40
10.02
6.87
8.33
20.00
96.00
21.10
16.20
60.00
256.00
1.70
21.60
1.00
3.70
11.03
48.60
35.44
0.98
0.94
3.13
1.33
1079.98
0.00
26.51
4.00
16.20
1.13
5.06
3.00
3.20
2.00
3.09
1.50
24.81
113.40
0.68
12.96
20.00
0.76
5.10
28.35
12.76
30.00
1.73
16.20
1.52
12.15
3.18
8.10
4.00
2.00
25.52
1.52
3.13
1.00
90.72
37.80
8.10
1.66
1.00
1.67
4.00
3.20
1.69
2.36
1.00
2.03
1.00
8.00
3.06
4.00
8.03
9.29
32.40
24.00
28.35
31.19
9.45
1.00
1.00
4.18
7.87
32.40
18.90
14.17
3.41
16.20
83.16
2.55
12.15
50.00
4.12
2.64
1.71
30.24
